intent,phrase
ADD_TASK,add task
ADD_TASK,add new task
ADD_TASK,add todo
ADD_TASK,add reminder
ADD_TASK,add item

ADD_TASK,create task
ADD_TASK,create new task
ADD_TASK,create todo
ADD_TASK,create reminder
ADD_TASK,create item

ADD_TASK,set task
ADD_TASK,set new task
ADD_TASK,set todo
ADD_TASK,set reminder
ADD_TASK,set item

ADD_TASK,make task
ADD_TASK,make new task
ADD_TASK,make todo
ADD_TASK,make reminder
ADD_TASK,make item

ADD_TASK,insert task
ADD_TASK,insert new task
ADD_TASK,insert todo
ADD_TASK,insert reminder
ADD_TASK,insert item

ADD_TASK,schedule task
ADD_TASK,schedule new task
ADD_TASK,schedule todo
ADD_TASK,schedule reminder
ADD_TASK,schedule item

ADD_TASK,plan task
ADD_TASK,plan new task
ADD_TASK,plan todo
ADD_TASK,plan reminder
ADD_TASK,plan item

DELETE_TASK,delete task
DELETE_TASK,delete old task
DELETE_TASK,delete todo
DELETE_TASK,delete reminder task
DELETE_TASK,delete item task

DELETE_TASK,remove task buy
DELETE_TASK,remove old task
DELETE_TASK,remove todo
DELETE_TASK,remove reminder task
DELETE_TASK,remove item task

DELETE_TASK,cancel task
DELETE_TASK,cancel old task
DELETE_TASK,cancel todo
DELETE_TASK,cancel reminder
DELETE_TASK,cancel item

DELETE_TASK,clear task
DELETE_TASK,clear old task
DELETE_TASK,clear todo
DELETE_TASK,clear reminder
DELETE_TASK,clear item

DELETE_TASK,drop task
DELETE_TASK,drop old task
DELETE_TASK,drop todo
DELETE_TASK,drop reminder
DELETE_TASK,drop item

DELETE_TASK,discard task
DELETE_TASK,discard old task
DELETE_TASK,discard todo
DELETE_TASK,discard reminder
DELETE_TASK,discard item

MARK_DONE,complete task
MARK_DONE,complete old task
MARK_DONE,complete todo
MARK_DONE,complete reminder
MARK_DONE,complete item

MARK_DONE,finish task
MARK_DONE,finish old task
MARK_DONE,finish todo
MARK_DONE,finish reminder
MARK_DONE,finish item

MARK_DONE,done task
MARK_DONE,done old task
MARK_DONE,done todo
MARK_DONE,done reminder
MARK_DONE,done item

MARK_DONE,mark complete task
MARK_DONE,mark complete old task
MARK_DONE,mark complete todo
MARK_DONE,mark complete reminder
MARK_DONE,mark complete item

MARK_DONE,set complete task
MARK_DONE,set complete old task
MARK_DONE,set complete todo
MARK_DONE,set complete reminder
MARK_DONE,set complete item

MARK_DONE,set finish task
MARK_DONE,set finish old task
MARK_DONE,set finish todo
MARK_DONE,set finish reminder
MARK_DONE,set finish item



